document_number,fiscal_year,fiscal_period,company_code,company_name,profit_center,profit_center_description,customer_id,product_id,revenue,cost,currency,source_updated_at
DOC0000000035,2025,11,AR01,Compañía Modelo Argentina,PC300,Exportación,C000307,MAT00081,33953.04,29380.62,ARS,2025-02-04T00:35:00Z
DOC0000000036,2025,12,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000020,MAT00097,42835.66,31010.94,ARS,2025-02-05T00:36:00Z
DOC0000000037,2025,1,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000296,MAT00063,63337.80,51508.91,UYU,2025-02-06T00:37:00Z
DOC0000000038,2025,2,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000111,MAT00051,16833.95,11029.45,UYU,2025-02-07T00:38:00Z
DOC0000000039,2025,3,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000359,MAT00057,29438.72,23427.77,ARS,2025-02-08T00:39:00Z
DOC0000000040,2025,4,AR01,Compañía Modelo Argentina,PC300,Exportación,C000156,MAT00045,29349.75,23800.94,ARS,2025-02-09T00:40:00Z
DOC0000000041,2025,5,AR01,Compañía Modelo Argentina,PC300,Exportación,C000208,MAT00079,74144.39,61020.28,ARS,2025-02-10T00:41:00Z
DOC0000000042,2025,6,AR01,Compañía Modelo Argentina,PC300,Exportación,C000125,MAT00117,53811.19,40072.52,ARS,2025-02-11T00:42:00Z
DOC0000000043,2025,7,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000420,MAT00021,38612.74,30359.12,ARS,2025-02-12T00:43:00Z
DOC0000000044,2025,8,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000404,MAT00052,17055.54,14708.10,UYU,2025-02-13T00:44:00Z
DOC0000000045,2025,9,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000240,MAT00017,70817.74,62119.98,UYU,2025-02-14T00:45:00Z
DOC0000000046,2025,10,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000271,MAT00070,55956.77,43492.87,ARS,2025-02-15T00:46:00Z
DOC0000000047,2025,11,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000429,MAT00079,6780.96,4159.03,UYU,2025-02-16T00:47:00Z
DOC0000000048,2025,12,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000014,MAT00053,26695.74,20493.78,ARS,2025-02-17T00:48:00Z
DOC0000000049,2025,1,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000179,MAT00051,70814.77,59598.63,UYU,2025-02-18T00:49:00Z
DOC0000000050,2025,2,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000234,MAT00059,1946.48,1135.28,ARS,2025-02-19T00:50:00Z
DOC0000000051,2025,3,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000214,MAT00077,27125.66,21694.82,UYU,2025-02-20T00:51:00Z
DOC0000000052,2025,4,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000274,MAT00023,25050.16,20169.99,UYU,2025-02-21T00:52:00Z
DOC0000000053,2025,5,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000468,MAT00105,38042.85,24056.37,UYU,2025-02-22T00:53:00Z
DOC0000000054,2025,6,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000232,MAT00102,70762.55,43545.27,ARS,2025-02-23T00:54:00Z
DOC0000000055,2025,7,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000212,MAT00111,47188.22,30870.48,ARS,2025-02-24T00:55:00Z
DOC0000000056,2025,8,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000110,MAT00059,68046.82,48562.15,UYU,2025-02-25T00:56:00Z
DOC0000000057,2025,9,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000316,MAT00093,52274.68,38496.16,UYU,2025-02-26T00:57:00Z
DOC0000000058,2025,10,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000135,MAT00051,65833.11,51932.33,UYU,2025-02-27T00:58:00Z
DOC0000000059,2025,11,AR01,Compañía Modelo Argentina,PC300,Exportación,C000482,MAT00052,74738.39,63942.53,ARS,2025-02-28T00:59:00Z
DOC0000000060,2025,12,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000290,MAT00039,36447.56,23069.91,UYU,2025-03-01T01:00:00Z
DOC0000000061,2025,1,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000135,MAT00054,22052.91,16490.77,ARS,2025-03-02T01:01:00Z
DOC0000000062,2025,2,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000189,MAT00105,12863.49,8987.77,UYU,2025-03-03T01:02:00Z
DOC0000000063,2025,3,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000384,MAT00102,36448.67,21649.06,ARS,2025-03-04T01:03:00Z
DOC0000000064,2025,4,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000261,MAT00048,68947.42,60392.27,ARS,2025-03-05T01:04:00Z
DOC0000000065,2025,5,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000163,MAT00039,33477.74,25311.76,UYU,2025-03-06T01:05:00Z
DOC0000000066,2025,6,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000439,MAT00113,15258.33,12976.34,UYU,2025-03-07T01:06:00Z
DOC0000000067,2025,7,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000002,MAT00084,13009.81,9454.58,ARS,2025-03-08T01:07:00Z
DOC0000000068,2025,8,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000017,MAT00113,20925.08,12314.74,UYU,2025-03-09T01:08:00Z
DOC0000000069,2025,9,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000063,MAT00106,22683.23,18893.80,ARS,2025-03-10T01:09:00Z
DOC0000000070,2025,10,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000153,MAT00011,39058.47,31026.32,UYU,2025-03-11T01:10:00Z
DOC0000000071,2025,11,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000420,MAT00015,7032.84,4181.15,ARS,2025-03-12T01:11:00Z
DOC0000000072,2025,12,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000075,MAT00082,51515.94,45137.74,UYU,2025-03-13T01:12:00Z
DOC0000000073,2025,1,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000375,MAT00048,41870.71,29773.85,UYU,2025-03-14T01:13:00Z
DOC0000000074,2025,2,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000015,MAT00089,63713.41,45937.40,ARS,2025-03-15T01:14:00Z
DOC0000000075,2025,3,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000392,MAT00070,47339.50,31702.93,UYU,2025-03-16T01:15:00Z
DOC0000000076,2025,4,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000414,MAT00115,45517.55,36075.97,UYU,2025-03-17T01:16:00Z
DOC0000000077,2025,5,AR01,Compañía Modelo Argentina,PC300,Exportación,C000144,MAT00083,59311.27,50061.95,ARS,2025-03-18T01:17:00Z
DOC0000000078,2025,6,AR01,Compañía Modelo Argentina,PC300,Exportación,C000397,MAT00003,4065.11,3000.65,ARS,2025-03-19T01:18:00Z
DOC0000000079,2025,7,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000321,MAT00110,8858.99,7788.98,ARS,2025-03-20T01:19:00Z
DOC0000000080,2025,8,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000493,MAT00059,31741.14,26414.68,ARS,2025-03-21T01:20:00Z
DOC0000000081,2025,9,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000025,MAT00048,16222.40,13256.34,UYU,2025-03-22T01:21:00Z
DOC0000000082,2025,10,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000361,MAT00103,10235.82,8158.97,UYU,2025-03-23T01:22:00Z
DOC0000000083,2025,11,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000229,MAT00016,17426.53,14096.90,UYU,2025-03-24T01:23:00Z
DOC0000000084,2025,12,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000163,MAT00047,68271.29,54425.54,ARS,2025-03-25T01:24:00Z
DOC0000000085,2025,1,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000087,MAT00053,35604.49,23010.04,UYU,2025-03-26T01:25:00Z
DOC0000000086,2025,2,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000147,MAT00035,10285.27,6583.66,ARS,2025-03-27T01:26:00Z
DOC0000000087,2025,3,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000072,MAT00082,42314.97,28130.64,UYU,2025-03-28T01:27:00Z
DOC0000000088,2025,4,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000047,MAT00063,52514.28,33818.82,ARS,2025-03-29T01:28:00Z
DOC0000000089,2025,5,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000371,MAT00082,29167.45,17551.06,UYU,2025-03-30T01:29:00Z
DOC0000000090,2025,6,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000049,MAT00066,21271.55,16143.55,ARS,2025-03-31T01:30:00Z
DOC0000000091,2025,7,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000081,MAT00107,32428.52,19356.83,ARS,2025-04-01T01:31:00Z
DOC0000000092,2025,8,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000123,MAT00119,24611.75,21643.94,UYU,2025-04-02T01:32:00Z
DOC0000000093,2025,9,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000337,MAT00021,66863.54,57037.65,ARS,2025-04-03T01:33:00Z
DOC0000000094,2025,10,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000372,MAT00109,10127.76,7373.46,UYU,2025-04-04T01:34:00Z
DOC0000000095,2025,11,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000473,MAT00065,24131.53,19608.88,ARS,2025-04-05T01:35:00Z
DOC0000000096,2025,12,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000475,MAT00003,54967.33,32708.04,ARS,2025-04-06T01:36:00Z
DOC0000000097,2025,1,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000103,MAT00021,32204.58,18776.95,UYU,2025-04-07T01:37:00Z
DOC0000000098,2025,2,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000293,MAT00011,19954.16,11583.77,UYU,2025-04-08T01:38:00Z
DOC0000000099,2025,3,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000013,MAT00116,29690.69,20335.60,UYU,2025-04-09T01:39:00Z
DOC0000000100,2025,4,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000047,MAT00064,72174.22,55880.54,ARS,2025-04-10T01:40:00Z
DOC0000000101,2025,5,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000013,MAT00107,46782.37,39066.00,ARS,2025-04-11T01:41:00Z
DOC0000000102,2025,6,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000161,MAT00055,20745.22,12817.99,UYU,2025-04-12T01:42:00Z
DOC0000000103,2025,7,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000436,MAT00056,3328.98,2498.70,UYU,2025-04-13T01:43:00Z
DOC0000000104,2025,8,AR01,Compañía Modelo Argentina,PC300,Exportación,C000256,MAT00043,74321.23,50264.54,ARS,2025-04-14T01:44:00Z
DOC0000000105,2025,9,AR01,Compañía Modelo Argentina,PC300,Exportación,C000067,MAT00086,66082.98,42673.73,ARS,2025-04-15T01:45:00Z
DOC0000000106,2025,10,AR01,Compañía Modelo Argentina,PC300,Exportación,C000001,MAT00117,17736.96,15316.00,ARS,2025-04-16T01:46:00Z
DOC0000000107,2025,11,AR01,Compañía Modelo Argentina,PC300,Exportación,C000145,MAT00084,36388.04,26255.65,ARS,2025-04-17T01:47:00Z
DOC0000000108,2025,12,AR01,Compañía Modelo Argentina,PC300,Exportación,C000340,MAT00115,11956.97,9399.85,ARS,2025-04-18T01:48:00Z
DOC0000000109,2025,1,AR01,Compañía Modelo Argentina,PC300,Exportación,C000086,MAT00096,34397.16,25594.08,ARS,2025-04-19T01:49:00Z
DOC0000000110,2025,2,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000023,MAT00016,26272.55,22946.25,ARS,2025-04-20T01:50:00Z
DOC0000000111,2025,3,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000366,MAT00089,17212.30,14508.21,UYU,2025-04-21T01:51:00Z
DOC0000000112,2025,4,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000129,MAT00033,22164.54,16279.76,UYU,2025-04-22T01:52:00Z
DOC0000000113,2025,5,AR01,Compañía Modelo Argentina,PC300,Exportación,C000003,MAT00070,45306.05,31689.12,ARS,2025-04-23T01:53:00Z
DOC0000000114,2025,6,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000408,MAT00015,37350.26,27186.65,UYU,2025-04-24T01:54:00Z
DOC0000000115,2025,7,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000005,MAT00058,62030.41,37510.73,UYU,2025-04-25T01:55:00Z
DOC0000000116,2025,8,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000035,MAT00073,51432.22,37149.56,UYU,2025-04-26T01:56:00Z
DOC0000000117,2025,9,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000034,MAT00107,68738.75,60184.61,UYU,2025-04-27T01:57:00Z
DOC0000000118,2025,10,AR01,Compañía Modelo Argentina,PC300,Exportación,C000179,MAT00014,61573.83,45527.85,ARS,2025-04-28T01:58:00Z
DOC0000000119,2025,11,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000440,MAT00032,1795.32,1221.10,UYU,2025-04-29T01:59:00Z
DOC0000000120,2025,12,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000219,MAT00090,66478.45,57849.51,UYU,2025-04-30T02:00:00Z
DOC0000000121,2025,1,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000366,MAT00013,24098.10,16941.75,ARS,2025-05-01T02:01:00Z
DOC0000000122,2025,2,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000306,MAT00111,1517.92,1289.25,UYU,2025-05-02T02:02:00Z
DOC0000000123,2025,3,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000299,MAT00027,15590.13,10642.03,UYU,2025-05-03T02:03:00Z
DOC0000000124,2025,4,AR01,Compañía Modelo Argentina,PC300,Exportación,C000457,MAT00118,8197.09,5129.22,ARS,2025-05-04T02:04:00Z
DOC0000000125,2025,5,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000407,MAT00046,28181.22,19533.02,ARS,2025-05-05T02:05:00Z
DOC0000000126,2025,6,AR01,Compañía Modelo Argentina,PC300,Exportación,C000117,MAT00117,19656.08,12907.36,ARS,2025-05-06T02:06:00Z
DOC0000000127,2025,7,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000449,MAT00066,18751.77,12788.27,ARS,2025-05-07T02:07:00Z
DOC0000000128,2025,8,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000393,MAT00063,38995.92,26669.03,UYU,2025-05-08T02:08:00Z
DOC0000000129,2025,9,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000105,MAT00028,9574.58,7516.50,ARS,2025-05-09T02:09:00Z
DOC0000000130,2025,10,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000136,MAT00098,17112.29,14578.87,UYU,2025-05-10T02:10:00Z
DOC0000000131,2025,11,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000108,MAT00077,64344.42,54588.94,ARS,2025-05-11T02:11:00Z
DOC0000000132,2025,12,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000306,MAT00019,19475.34,14415.14,UYU,2025-05-12T02:12:00Z
DOC0000000133,2025,1,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000032,MAT00028,20624.66,14474.98,ARS,2025-05-13T02:13:00Z
DOC0000000134,2025,2,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000388,MAT00090,14472.78,12214.64,UYU,2025-05-14T02:14:00Z
DOC0000000135,2025,3,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000436,MAT00042,68453.98,57858.75,ARS,2025-05-15T02:15:00Z
DOC0000000136,2025,4,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000480,MAT00052,60523.73,42612.60,ARS,2025-05-16T02:16:00Z
DOC0000000137,2025,5,AR01,Compañía Modelo Argentina,PC300,Exportación,C000030,MAT00008,68550.37,42448.09,ARS,2025-05-17T02:17:00Z
DOC0000000138,2025,6,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000444,MAT00055,42391.28,36782.76,UYU,2025-05-18T02:18:00Z
DOC0000000139,2025,7,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000270,MAT00106,28029.48,21559.83,UYU,2025-05-19T02:19:00Z
DOC0000000140,2025,8,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000332,MAT00050,72109.66,52854.64,ARS,2025-05-20T02:20:00Z
DOC0000000141,2025,9,AR01,Compañía Modelo Argentina,PC300,Exportación,C000385,MAT00100,28170.55,18418.30,ARS,2025-05-21T02:21:00Z
DOC0000000142,2025,10,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000166,MAT00091,64063.40,55121.42,ARS,2025-05-22T02:22:00Z
DOC0000000143,2025,11,AR01,Compañía Modelo Argentina,PC300,Exportación,C000352,MAT00039,61091.66,50573.63,ARS,2025-05-23T02:23:00Z
DOC0000000144,2025,12,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000244,MAT00040,49528.87,29850.25,ARS,2025-05-24T02:24:00Z
DOC0000000145,2025,1,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000137,MAT00075,18326.75,15902.78,ARS,2025-05-25T02:25:00Z
DOC0000000146,2025,2,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000155,MAT00051,67174.37,52009.73,ARS,2025-05-26T02:26:00Z
DOC0000000147,2025,3,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000337,MAT00003,14462.95,9892.08,ARS,2025-05-27T02:27:00Z
DOC0000000148,2025,4,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000160,MAT00020,62093.11,54462.23,UYU,2025-05-28T02:28:00Z
DOC0000000149,2025,5,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000173,MAT00042,41949.05,30480.40,UYU,2025-05-29T02:29:00Z
DOC0000000150,2025,6,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000431,MAT00011,11266.65,7066.92,ARS,2025-05-30T02:30:00Z
DOC0000000151,2025,7,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000297,MAT00024,1349.81,1080.66,UYU,2025-05-31T02:31:00Z
DOC0000000152,2025,8,UY01,Compañía Modelo Uruguay,PC200,Canal Mayorista,C000322,MAT00007,13709.91,10362.87,UYU,2025-06-01T02:32:00Z
DOC0000000153,2025,9,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000362,MAT00031,46255.76,39047.41,ARS,2025-06-02T02:33:00Z
DOC0000000154,2025,10,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000156,MAT00088,63357.56,52169.11,UYU,2025-06-03T02:34:00Z
DOC0000000155,2025,11,AR01,Compañía Modelo Argentina,PC300,Exportación,C000496,MAT00051,67057.05,52119.39,ARS,2025-06-04T02:35:00Z
DOC0000000156,2025,12,AR01,Compañía Modelo Argentina,PC300,Exportación,C000216,MAT00002,15874.43,11962.39,ARS,2025-06-05T02:36:00Z
DOC0000000157,2025,1,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000189,MAT00062,63648.97,52862.21,ARS,2025-06-06T02:37:00Z
DOC0000000158,2025,2,UY01,Compañía Modelo Uruguay,PC100,Consumo Masivo,C000144,MAT00086,5403.84,4453.27,UYU,2025-06-07T02:38:00Z
DOC0000000159,2025,3,AR01,Compañía Modelo Argentina,PC300,Exportación,C000066,MAT00058,9146.45,5691.40,ARS,2025-06-08T02:39:00Z
DOC0000000160,2025,4,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000229,MAT00085,43463.70,26035.87,ARS,2025-06-09T02:40:00Z
DOC0000000161,2025,5,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000104,MAT00076,62934.06,51182.14,ARS,2025-06-10T02:41:00Z
DOC0000000162,2025,6,AR01,Compañía Modelo Argentina,PC200,Canal Mayorista,C000213,MAT00070,5684.91,3315.67,ARS,2025-06-11T02:42:00Z
DOC0000000163,2025,7,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000133,MAT00008,4066.71,2853.69,ARS,2025-06-12T02:43:00Z
DOC0000000164,2025,8,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000278,MAT00036,7554.98,4627.89,ARS,2025-06-13T02:44:00Z
DOC0000000165,2025,9,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000230,MAT00105,56943.63,45540.36,ARS,2025-06-14T02:45:00Z
DOC0000000166,2025,10,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000276,MAT00048,32728.18,20054.83,ARS,2025-06-15T02:46:00Z
DOC0000000167,2025,11,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000339,MAT00047,33840.98,25163.32,UYU,2025-06-16T02:47:00Z
DOC0000000168,2025,12,AR01,Compañía Modelo Argentina,PC300,Exportación,C000253,MAT00021,15399.43,9742.07,ARS,2025-06-17T02:48:00Z
DOC0000000169,2025,1,UY01,Compañía Modelo Uruguay,PC300,Exportación,C000320,MAT00078,25172.49,17110.46,UYU,2025-06-18T02:49:00Z
DOC0000000170,2025,2,AR01,Compañía Modelo Argentina,PC100,Consumo Masivo,C000221,MAT00011,39671.36,29512.79,ARS,2025-06-19T02:50:00Z
